8-18,10-19
30-97,30-98
32-70,9-70
95-96,1-94
20-99,20-21
68-79,6-68
17-64,39-51
21-58,56-57
14-25,13-14
16-96,97-99
98-99,70-97
1-35,10-66
12-56,9-13
47-84,19-63
73-89,72-90
52-95,12-95
3-95,1-3
78-92,93-93
99-99,4-97
46-86,29-45
79-95,78-96
87-92,93-95
22-81,22-80
32-33,33-71
53-99,53-83
21-98,20-97
93-94,6-93
78-96,10-77
1-91,56-69
60-98,51-60
20-20,21-32
95-96,96-96
4-26,5-27
85-92,42-84
86-86,72-85
20-25,24-30
11-28,12-70
23-70,8-8
7-7,7-74
48-93,49-92
4-72,71-72
15-28,14-32
25-73,47-74
67-77,67-68
10-84,66-84
7-96,7-96
2-29,29-38
52-52,52-97
72-73,72-95
20-50,51-51
1-86,46-87
13-36,14-20
60-98,53-98
6-40,7-41
62-76,41-75
8-38,37-51
14-90,13-91
1-54,18-53
19-94,94-96
77-95,76-85
3-98,2-3
24-93,48-92
10-98,97-99
1-5,3-4
15-15,16-86
26-93,23-79
8-48,9-9
38-98,32-55
30-60,31-48
15-69,16-70
9-79,9-10
53-90,52-72
9-28,27-97
3-91,2-3
10-42,42-50
2-79,8-79
4-44,73-94
4-89,1-88
51-53,52-92
22-36,35-81
72-96,71-96
69-69,70-89
20-97,19-20
33-99,34-34
31-33,32-94
7-22,23-80
2-4,3-41
73-79,24-80
95-97,99-99
6-21,2-7
3-94,4-95
7-87,86-86
9-80,8-80
4-20,3-7
54-89,54-88
22-90,32-90
91-98,61-91
18-69,32-52
7-17,8-66
35-58,12-57
4-87,85-86
2-99,94-99
33-95,32-33
42-42,2-41
28-43,28-29
23-72,23-71
6-92,6-91
32-56,33-97
83-96,83-86
32-67,33-33
26-40,26-39
11-96,10-11
7-89,6-90
12-46,19-47
39-95,40-99
89-89,79-88
19-71,6-18
47-93,46-94
39-77,28-32
7-70,8-69
72-73,73-94
51-63,48-61
7-88,29-87
67-85,35-86
1-82,17-83
68-86,87-87
42-43,43-44
46-72,68-73
35-37,23-78
1-39,35-40
12-96,13-33
21-94,20-93
36-53,8-99
35-83,28-36
99-99,35-89
16-40,15-25
28-39,39-40
56-88,55-75
5-86,87-94
67-70,46-69
25-67,66-68
73-73,13-72
30-41,66-81
32-90,31-91
9-33,4-7
25-48,12-59
21-96,16-22
5-35,29-41
50-50,44-76
19-86,18-87
9-49,9-47
7-70,9-95
23-93,94-97
24-72,38-71
7-83,4-8
72-90,42-73
7-93,92-92
91-91,7-92
72-73,71-72
4-96,1-1
7-76,76-90
29-92,27-30
1-97,2-99
29-72,59-73
6-18,1-4
74-93,74-74
12-97,11-66
23-27,10-25
64-95,63-64
34-41,42-47
24-71,70-72
23-37,24-38
22-95,94-99
40-63,48-64
35-65,36-66
14-15,14-41
1-71,1-47
5-28,14-29
92-92,90-91
34-35,34-42
58-61,54-60
60-73,61-94
11-15,14-49
3-8,13-98
3-50,4-49
